Id,Name,Ratings,Current_Price,Original_Price,Discount,Features
0,Canon R100 Mirrorless Camera RF,4.5,"₹44,990","₹64,995",30%,DIGIC 8 Image Processor
1,Canon EOS 200D II DSLR Camera EF,4.5,"₹52,990","₹68,995",23%,Vari-angle Touch Screen LCD
2,"dji Action 2 Power Combo Power Combo with Module, Magnetic Versatility, 4K Recording Upto 120 fps and ...",4.2,"₹14,990","₹44,990",66%, 12 MP4K1 Year Manufacturer Warranty
3,FUJIFILM Instax Treasure Box Mini 11 Instant Camera,4.4,"₹6,499","₹8,499",23%, AutomaticView Finder
4,FUJIFILM Instax Mini 11 Instant Camera,4.3,"₹5,999","₹7,999",25%, ManualView Finder
5,dji Osmo Action Action 4 Standard Combo Sports and Action Camera,4.5,"₹32,990","₹44,990",26%, 12 MP4K1 Year Warranty
6,Canon EOS 1500D DSLR Camera Body+ 18,4.5,"₹38,990","₹47,995",18%,Self-Timer
7,SONY Alpha ILCE,4.6,"₹61,489","₹75,990",19%,High-resolution 4K movie recording
8,GoPro HERO12 DualLCDScreens 5.3K60 UltraHDVideo HyperSmooth 6.0withAutoBoostWaterproof Sports and Acti...,4.1,"₹38,990","₹45,000",13%, 27 MP5K2 Years Warranty
9,dji OSMO Action 3 Standard Combo Sports and Action Camera,4.4,"₹22,990","₹34,999",34%, 12 MP4K1 Year Manufacturer Warranty
10,"Canon EOS 3000D DSLR Camera 1 Body, 18",4.4,"₹31,990","₹35,995",11%,Self-Timer
11,FUJIFILM Instax Mini 11 Instant Camera,4.3,"₹5,999","₹7,999",25%, ManualView Finder
12,dji OSMO Action 3 Adventure Combo Sports and Action Camera,4.4,"₹31,990","₹44,999",28%, 12 MP4K1 Year Manufacturer Warranty
13,SONY Alpha ILCE,4.6,"₹74,489","₹90,990",18%,4K movies and pro-level features
14,Insta360 Action Camera X3 Sports and Action Camera,4.4,"₹39,990","₹51,999",23%, 72 MPHDR1 Year Manufacturer Warranty
15,NIKON D7500 DSLR Camera Body with 18,4.6,"₹72,990","₹94,950",23%,4K UHD
16,DIGITEK GoCAM DAC,3.5,"₹8,999","₹14,995",39%, 48 MP5K1 year carry in warranty
17,DIGITEK GoCAM DAC,3.6,"₹6,499","₹10,995",40%, 24 MP4K1 year carry in warranty
18,Insta360 X4 Sports and Action Camera,4.4,"₹54,990","₹59,990",8%, 72 MPHDR1 Year Warranty
19,FUJIFILM Instax Treasure Box Mini 11 Instant Camera,4.4,"₹6,499","₹8,499",23%, AutomaticView Finder
20,SONY Alpha ILCE,4.6,"₹65,489","₹80,490",18%,4K movies and pro-level features
21,Henzila E99 TOY Drone,4,"₹2,499","₹9,999",75%, Professional DroneControl Range
22,FUJIFILM Instax Treasure Box Mini 11 Instant Camera,4.4,"₹6,499","₹8,499",23%, AutomaticView Finder
23,dji Osmo OSMO POCKET 2 Sports and Action Camera,4.3,"₹24,990","₹34,990",28%, 64 MP4K1 Year Warranty
24,Canon R100 Mirrorless Camera RF,4.5,"₹44,990","₹64,995",30%,DIGIC 8 Image Processor
25,Canon EOS 200D II DSLR Camera EF,4.5,"₹52,990","₹68,995",23%,Vari-angle Touch Screen LCD
26,"dji Action 2 Power Combo Power Combo with Module, Magnetic Versatility, 4K Recording Upto 120 fps and ...",4.2,"₹14,990","₹44,990",66%, 12 MP4K1 Year Manufacturer Warranty
27,FUJIFILM Instax Treasure Box Mini 11 Instant Camera,4.4,"₹6,499","₹8,499",23%, AutomaticView Finder
28,FUJIFILM Instax Mini 11 Instant Camera,4.3,"₹5,999","₹7,999",25%, ManualView Finder
29,dji Osmo Action Action 4 Standard Combo Sports and Action Camera,4.5,"₹32,990","₹44,990",26%, 12 MP4K1 Year Warranty
30,Canon EOS 1500D DSLR Camera Body+ 18,4.5,"₹38,990","₹47,995",18%,Self-Timer
31,SONY Alpha ILCE,4.6,"₹61,489","₹75,990",19%,High-resolution 4K movie recording
32,GoPro HERO12 DualLCDScreens 5.3K60 UltraHDVideo HyperSmooth 6.0withAutoBoostWaterproof Sports and Acti...,4.1,"₹38,990","₹45,000",13%, 27 MP5K2 Years Warranty
33,dji OSMO Action 3 Standard Combo Sports and Action Camera,4.4,"₹22,990","₹34,999",34%, 12 MP4K1 Year Manufacturer Warranty
34,"Canon EOS 3000D DSLR Camera 1 Body, 18",4.4,"₹31,990","₹35,995",11%,Self-Timer
35,FUJIFILM Instax Mini 11 Instant Camera,4.3,"₹5,999","₹7,999",25%, ManualView Finder
36,dji OSMO Action 3 Adventure Combo Sports and Action Camera,4.4,"₹31,990","₹44,999",28%, 12 MP4K1 Year Manufacturer Warranty
37,SONY Alpha ILCE,4.6,"₹74,489","₹90,990",18%,4K movies and pro-level features
38,Insta360 Action Camera X3 Sports and Action Camera,4.4,"₹39,990","₹51,999",23%, 72 MPHDR1 Year Manufacturer Warranty
39,NIKON D7500 DSLR Camera Body with 18,4.6,"₹72,990","₹94,950",23%,4K UHD
40,DIGITEK GoCAM DAC,3.5,"₹8,999","₹14,995",39%, 48 MP5K1 year carry in warranty
41,DIGITEK GoCAM DAC,3.6,"₹6,499","₹10,995",40%, 24 MP4K1 year carry in warranty
42,Insta360 X4 Sports and Action Camera,4.4,"₹54,990","₹59,990",8%, 72 MPHDR1 Year Warranty
43,FUJIFILM Instax Treasure Box Mini 11 Instant Camera,4.4,"₹6,499","₹8,499",23%, AutomaticView Finder
44,SONY Alpha ILCE,4.6,"₹65,489","₹80,490",18%,4K movies and pro-level features
45,Henzila E99 TOY Drone,4,"₹2,499","₹9,999",75%, Professional DroneControl Range
46,FUJIFILM Instax Treasure Box Mini 11 Instant Camera,4.4,"₹6,499","₹8,499",23%, AutomaticView Finder
47,dji Osmo OSMO POCKET 2 Sports and Action Camera,4.3,"₹24,990","₹34,990",28%, 64 MP4K1 Year Warranty
48,Canon R100 Mirrorless Camera RF,4.5,"₹44,990","₹64,995",30%,DIGIC 8 Image Processor
49,Canon EOS 200D II DSLR Camera EF,4.5,"₹52,990","₹68,995",23%,Vari-angle Touch Screen LCD
50,"dji Action 2 Power Combo Power Combo with Module, Magnetic Versatility, 4K Recording Upto 120 fps and ...",4.2,"₹14,990","₹44,990",66%, 12 MP4K1 Year Manufacturer Warranty
51,FUJIFILM Instax Treasure Box Mini 11 Instant Camera,4.4,"₹6,499","₹8,499",23%, AutomaticView Finder
52,FUJIFILM Instax Mini 11 Instant Camera,4.3,"₹5,999","₹7,999",25%, ManualView Finder
53,dji Osmo Action Action 4 Standard Combo Sports and Action Camera,4.5,"₹32,990","₹44,990",26%, 12 MP4K1 Year Warranty
54,Canon EOS 1500D DSLR Camera Body+ 18,4.5,"₹38,990","₹47,995",18%,Self-Timer
55,SONY Alpha ILCE,4.6,"₹61,489","₹75,990",19%,High-resolution 4K movie recording
56,GoPro HERO12 DualLCDScreens 5.3K60 UltraHDVideo HyperSmooth 6.0withAutoBoostWaterproof Sports and Acti...,4.1,"₹38,990","₹45,000",13%, 27 MP5K2 Years Warranty
57,dji OSMO Action 3 Standard Combo Sports and Action Camera,4.4,"₹22,990","₹34,999",34%, 12 MP4K1 Year Manufacturer Warranty
58,"Canon EOS 3000D DSLR Camera 1 Body, 18",4.4,"₹31,990","₹35,995",11%,Self-Timer
59,FUJIFILM Instax Mini 11 Instant Camera,4.3,"₹5,999","₹7,999",25%, ManualView Finder
60,dji OSMO Action 3 Adventure Combo Sports and Action Camera,4.4,"₹31,990","₹44,999",28%, 12 MP4K1 Year Manufacturer Warranty
61,SONY Alpha ILCE,4.6,"₹74,489","₹90,990",18%,4K movies and pro-level features
62,Insta360 Action Camera X3 Sports and Action Camera,4.4,"₹39,990","₹51,999",23%, 72 MPHDR1 Year Manufacturer Warranty
63,NIKON D7500 DSLR Camera Body with 18,4.6,"₹72,990","₹94,950",23%,4K UHD
64,DIGITEK GoCAM DAC,3.5,"₹8,999","₹14,995",39%, 48 MP5K1 year carry in warranty
65,DIGITEK GoCAM DAC,3.6,"₹6,499","₹10,995",40%, 24 MP4K1 year carry in warranty
66,Insta360 X4 Sports and Action Camera,4.4,"₹54,990","₹59,990",8%, 72 MPHDR1 Year Warranty
67,FUJIFILM Instax Treasure Box Mini 11 Instant Camera,4.4,"₹6,499","₹8,499",23%, AutomaticView Finder
68,SONY Alpha ILCE,4.6,"₹65,489","₹80,490",18%,4K movies and pro-level features
69,Henzila E99 TOY Drone,4,"₹2,499","₹9,999",75%, Professional DroneControl Range
70,FUJIFILM Instax Treasure Box Mini 11 Instant Camera,4.4,"₹6,499","₹8,499",23%, AutomaticView Finder
71,dji Osmo OSMO POCKET 2 Sports and Action Camera,4.3,"₹24,990","₹34,990",28%, 64 MP4K1 Year Warranty
72,Canon R100 Mirrorless Camera RF,4.5,"₹44,990","₹64,995",30%,DIGIC 8 Image Processor
73,Canon EOS 200D II DSLR Camera EF,4.5,"₹52,990","₹68,995",23%,Vari-angle Touch Screen LCD
74,"dji Action 2 Power Combo Power Combo with Module, Magnetic Versatility, 4K Recording Upto 120 fps and ...",4.2,"₹14,990","₹44,990",66%, 12 MP4K1 Year Manufacturer Warranty
75,FUJIFILM Instax Treasure Box Mini 11 Instant Camera,4.4,"₹6,499","₹8,499",23%, AutomaticView Finder
76,FUJIFILM Instax Mini 11 Instant Camera,4.3,"₹5,999","₹7,999",25%, ManualView Finder
77,dji Osmo Action Action 4 Standard Combo Sports and Action Camera,4.5,"₹32,990","₹44,990",26%, 12 MP4K1 Year Warranty
78,Canon EOS 1500D DSLR Camera Body+ 18,4.5,"₹38,990","₹47,995",18%,Self-Timer
79,SONY Alpha ILCE,4.6,"₹61,489","₹75,990",19%,High-resolution 4K movie recording
80,GoPro HERO12 DualLCDScreens 5.3K60 UltraHDVideo HyperSmooth 6.0withAutoBoostWaterproof Sports and Acti...,4.1,"₹38,990","₹45,000",13%, 27 MP5K2 Years Warranty
81,dji OSMO Action 3 Standard Combo Sports and Action Camera,4.4,"₹22,990","₹34,999",34%, 12 MP4K1 Year Manufacturer Warranty
82,"Canon EOS 3000D DSLR Camera 1 Body, 18",4.4,"₹31,990","₹35,995",11%,Self-Timer
83,FUJIFILM Instax Mini 11 Instant Camera,4.3,"₹5,999","₹7,999",25%, ManualView Finder
84,dji OSMO Action 3 Adventure Combo Sports and Action Camera,4.4,"₹31,990","₹44,999",28%, 12 MP4K1 Year Manufacturer Warranty
85,SONY Alpha ILCE,4.6,"₹74,489","₹90,990",18%,4K movies and pro-level features
86,Insta360 Action Camera X3 Sports and Action Camera,4.4,"₹39,990","₹51,999",23%, 72 MPHDR1 Year Manufacturer Warranty
87,NIKON D7500 DSLR Camera Body with 18,4.6,"₹72,990","₹94,950",23%,4K UHD
88,DIGITEK GoCAM DAC,3.5,"₹8,999","₹14,995",39%, 48 MP5K1 year carry in warranty
89,DIGITEK GoCAM DAC,3.6,"₹6,499","₹10,995",40%, 24 MP4K1 year carry in warranty
90,Insta360 X4 Sports and Action Camera,4.4,"₹54,990","₹59,990",8%, 72 MPHDR1 Year Warranty
91,FUJIFILM Instax Treasure Box Mini 11 Instant Camera,4.4,"₹6,499","₹8,499",23%, AutomaticView Finder
92,SONY Alpha ILCE,4.6,"₹65,489","₹80,490",18%,4K movies and pro-level features
93,Henzila E99 TOY Drone,4,"₹2,499","₹9,999",75%, Professional DroneControl Range
94,FUJIFILM Instax Treasure Box Mini 11 Instant Camera,4.4,"₹6,499","₹8,499",23%, AutomaticView Finder
95,dji Osmo OSMO POCKET 2 Sports and Action Camera,4.3,"₹24,990","₹34,990",28%, 64 MP4K1 Year Warranty
96,Canon R100 Mirrorless Camera RF,4.5,"₹44,990","₹64,995",30%,DIGIC 8 Image Processor
97,Canon EOS 200D II DSLR Camera EF,4.5,"₹52,990","₹68,995",23%,Vari-angle Touch Screen LCD
98,"dji Action 2 Power Combo Power Combo with Module, Magnetic Versatility, 4K Recording Upto 120 fps and ...",4.2,"₹14,990","₹44,990",66%, 12 MP4K1 Year Manufacturer Warranty
99,FUJIFILM Instax Treasure Box Mini 11 Instant Camera,4.4,"₹6,499","₹8,499",23%, AutomaticView Finder
100,FUJIFILM Instax Mini 11 Instant Camera,4.3,"₹5,999","₹7,999",25%, ManualView Finder
101,dji Osmo Action Action 4 Standard Combo Sports and Action Camera,4.5,"₹32,990","₹44,990",26%, 12 MP4K1 Year Warranty
102,Canon EOS 1500D DSLR Camera Body+ 18,4.5,"₹38,990","₹47,995",18%,Self-Timer
103,SONY Alpha ILCE,4.6,"₹61,489","₹75,990",19%,High-resolution 4K movie recording
